id,title,description,link,price,sale_price,brand,gtin,condition,image_link,mpn,product_type,quantity,shipping,tax,shipping_weight,availability,google_product_category,custom_label_0
113608,CBS350-16P-E-2G-NA - Cisco 350 CBS350-16P-E-2G Ethernet Switch 18 Ports Manageable 2 Layer Supported Modular 2 SFP Slots 23.68 W Power Consu,CBS350-16P-E-2G-NA - Cisco 350 CBS350-16P-E-2G Ethernet Switch 18 Ports Manageable 2 Layer Supported Modular 2 SFP Slots 23.68 W Power Consu,https://refurbtechltd.co.uk/cbs350-16p-e-2g-na-cisco-350-cbs350-16p-e-2g-ethernet-switch-18-ports-manageable-2-layer-supported-modular-2-sfp-slots-23-68-w-power-consu/,1354 USD,677 USD,Cisco,889728294171,New,http://refurbtechltd.co.uk/product_images/o/890/CBS350-16P-E-2G-NA__76090.jpg,CBS350-16P-E-2G-NA,Network Switches,9999,,,1 lb,in stock,Electronics > Networking > Hubs & Switches,601-700
113598,CBS250-48P-4G-NA - Cisco 250 CBS250-48P-4G Ethernet Switch 48 Ports Manageable 2 Layer Supported Modular 4 SFP Slots 370 W PoE Budget Opti,CBS250-48P-4G-NA - Cisco 250 CBS250-48P-4G Ethernet Switch 48 Ports Manageable 2 Layer Supported Modular 4 SFP Slots 370 W PoE Budget Opti,https://refurbtechltd.co.uk/cbs250-48p-4g-na-cisco-250-cbs250-48p-4g-ethernet-switch-48-ports-manageable-2-layer-supported-modular-4-sfp-slots-370-w-poe-budget-opti/,1912 USD,956 USD,Cisco,889728295925,New,http://refurbtechltd.co.uk/product_images/e/775/CBS250-48P-4G-NA__96293.jpg,CBS250-48P-4G-NA,Network Switches,9999,,,1 lb,in stock,Electronics > Networking > Hubs & Switches,901-1000
113586,CBS220-48T-4X - Cisco Business 220 48-Ports 10/100/1000 + 4 x 10 Gigabit SFP+ Uplink Layer 2 Managed Rack-Mountable Network Switch,CBS220-48T-4X - Cisco Business 220 48-Ports 10/100/1000 + 4 x 10 Gigabit SFP+ Uplink Layer 2 Managed Rack-Mountable Network Switch,https://refurbtechltd.co.uk/cbs220-48t-4x-cisco-business-220-48-ports-10-100-1000-4-x-10-gigabit-sfp-uplink-layer-2-managed-rack-mountable-network-switch/,1832 USD,916 USD,Cisco,889728248808,New,http://refurbtechltd.co.uk/product_images/y/981/CBS220-48T-4X__70116.jpg,CBS220-48T-4X,Network Switches,9999,,,11 lb,in stock,Electronics > Networking > Hubs & Switches,901-1000
113597,CBS250-48P-4G - Cisco Business 250 48-Ports 10/100/1000 + 4 x Gigabit SFP PoE+ Layer 2 Managed Rack-Mountable Network Switch,CBS250-48P-4G - Cisco Business 250 48-Ports 10/100/1000 + 4 x Gigabit SFP PoE+ Layer 2 Managed Rack-Mountable Network Switch,https://refurbtechltd.co.uk/cbs250-48p-4g-cisco-business-250-48-ports-10-100-1000-4-x-gigabit-sfp-poe-layer-2-managed-rack-mountable-network-switch/,1880 USD,940 USD,Cisco,889728295925,New,http://refurbtechltd.co.uk/product_images/i/901/CBS250-48P-4G__20228.jpg,CBS250-48P-4G,Network Switches,9999,,,15 lb,in stock,Electronics > Networking > Hubs & Switches,901-1000
112379,C1000-16FP-2G-L - Cisco Catalyst 1000-16FP 16 Port Managed Rack Mountable Net Switch,C1000-16FP-2G-L - Cisco Catalyst 1000-16FP 16 Port Managed Rack Mountable Net Switch,https://refurbtechltd.co.uk/c1000-16fp-2g-l-cisco-catalyst-1000-16fp-16-port-managed-rack-mountable-net-switch/,1810 USD,905 USD,Cisco,889728248891,New,http://refurbtechltd.co.uk/product_images/v/943/C1000-16FP-2G-L__52722.jpg,C1000-16FP-2G-L,Network Switches,9999,,,15 lb,in stock,Electronics > Networking > Hubs & Switches,901-1000
113584,CBS220-48P-4G-NA - Cisco Business CBS220-48P-4G Ethernet Switch 48 Ports Manageable 2 Layer Supported Modular 4 SFP Slots 53 W Power Consump,CBS220-48P-4G-NA - Cisco Business CBS220-48P-4G Ethernet Switch 48 Ports Manageable 2 Layer Supported Modular 4 SFP Slots 53 W Power Consump,https://refurbtechltd.co.uk/cbs220-48p-4g-na-cisco-business-cbs220-48p-4g-ethernet-switch-48-ports-manageable-2-layer-supported-modular-4-sfp-slots-53-w-power-consump/,1778 USD,889 USD,Cisco,889728345088,New,http://refurbtechltd.co.uk/product_images/d/613/CBS220-48P-4G-NA__92697.jpg,CBS220-48P-4G-NA,Network Switches,9999,,,1 lb,in stock,Electronics > Networking > Hubs & Switches,801-900
48945,523301 - Intellinet Network Solutions Fast Ethernet Office Switch 5 Ports 5 x RJ-45 10/100Base-TX,523301 - Intellinet Network Solutions Fast Ethernet Office Switch 5 Ports 5 x RJ-45 10/100Base-TX,https://refurbtechltd.co.uk/523301-intellinet-network-solutions-fast-ethernet-office-switch-5-ports-5-x-rj-45-10-100base-tx/,110 USD,55 USD,Intellinet,,New,http://refurbtechltd.co.uk/product_images/f/140/523301__56685.jpg,523301,Network Switches,9999,,,1 lb,in stock,Electronics > Networking > Hubs & Switches,1-100
4166,0235A23P - HP 3Com S3100-26TP-EI 2 x SFP + 24 x 10/100Base-TX LAN Ethernet Net Switch,0235A23P - HP 3Com S3100-26TP-EI 2 x SFP + 24 x 10/100Base-TX LAN Ethernet Net Switch,https://refurbtechltd.co.uk/0235a23p-hp-3com-s3100-26tp-ei-2-x-sfp-24-x-10-100base-tx-lan-ethernet-net-switch/,286 USD,143 USD,HP,,New,http://refurbtechltd.co.uk/product_images/d/840/0235A23P__06070.jpg,0235A23P,Network Switches,9999,,,10 lb,in stock,Electronics > Networking > Hubs & Switches,101-200
14111,12300-BS01 - QLogic 12300-BS01 36 x InfiniBand(Ports) QSFP 120/230 V AC Rack Mountable Net Switch,12300-BS01 - QLogic 12300-BS01 36 x InfiniBand(Ports) QSFP 120/230 V AC Rack Mountable Net Switch,https://refurbtechltd.co.uk/12300-bs01-qlogic-12300-bs01-36-x-infiniband-ports-qsfp-120-230-v-ac-rack-mountable-net-switch/,2482 USD,1241 USD,QLogic,,New,http://refurbtechltd.co.uk/product_images/n/054/12300-BS01__23420.jpg,12300-BS01,Network Switches,9999,,,2 lb,in stock,Electronics > Networking > Hubs & Switches,greater than 1000
43638,1700599G1 - Adtran NetVanta 1238 Ethernet Switch with PoE 2 x SFP Shared 48 x 10/100Base-TX LAN 4 x 10/100/1000Base-T LAN,1700599G1 - Adtran NetVanta 1238 Ethernet Switch with PoE 2 x SFP Shared 48 x 10/100Base-TX LAN 4 x 10/100/1000Base-T LAN,https://refurbtechltd.co.uk/1700599g1-adtran-netvanta-1238-ethernet-switch-with-poe-2-x-sfp-shared-48-x-10-100base-tx-lan-4-x-10-100-1000base-t-lan/,2116 USD,1058 USD,Adtran,,New,http://refurbtechltd.co.uk/product_images/j/046/1700599G1__51420.jpg,1700599G1,Network Switches,9999,,,1 lb,in stock,Electronics > Networking > Hubs & Switches,greater than 1000
